,Russian FederationРоссийская Федерация,Russian FederationРоссийская Федерация.1
0,Flag  Coat of arms,Flag  Coat of arms
1,"Anthem: Государственный гимн Российской ФедерацииGosudarstvennyy gimn Rossiyskoy Federatsii""State Anthem of the Russian Federation""","Anthem: Государственный гимн Российской ФедерацииGosudarstvennyy gimn Rossiyskoy Federatsii""State Anthem of the Russian Federation"""
2,"Russia on the globe, with disputed territoryshown in light green.[a]","Russia on the globe, with disputed territoryshown in light green.[a]"
3,Capitaland largest city,"Moscow.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}55°45′21″N 37°37′02″E﻿ / ﻿55.75583°N 37.61722°E"
4,Official language.mw-parser-output .nobold{font-weight:normal}and national language,Russian[3]
5,Recognised national languages,See Languages of Russia
6,Ethnic groups (2010)[4],80.9% Russian3.9% Tatar1.4% Ukrainian1.1% Bashkir1.0% Chuvash1.0% Chechen10.7% Others
7,Religion (2012)[5],47.4% Christianity—41% Russian Orthodoxy—6.4% Other Christian38.2% No religion6.5% Islam[b]2.4% Others5.5% Unanswered
8,Demonym(s),Russian
9,Government,Federal semi-presidential republic under a centralised authoritarian government[6][7][8][9]
10,,
11,• President,Vladimir Putin
12,• Prime Minister,Mikhail Mishustin
13,• Speaker of theFederation Council,Valentina Matviyenko
14,• Speaker of theState Duma,Vyacheslav Volodin
15,• Chief Justice,Vyacheslav Lebedev
16,Legislature,Federal Assembly
17,• Upper house,Federation Council
18,• Lower house,State Duma
19,Formation,Formation
20,,
21,• Kievan Rus',879
22,• Vladimir-Suzdal,1157
23,• Grand Duchy ofMoscow,1263
24,• Tsardom of Russia,16 January 1547
25,• Russian Empire,2 November 1721
26,• Monarchy abolished,15 March 1917
27,• Soviet Union,30 December 1922
28,• Declaration of StateSovereignty,12 June 1990
29,• Russian Federation,12 December 1991
30,• Current constitution,12 December 1993
31,• Union State formed,8 December 1999
32,• Crimea annexed,18 March 2014
33,Area,Area
34,• Total,"17,098,246 km2 (6,601,670 sq mi)[10] 17,125,191 km2 (including Crimea)[11] (1st)"
35,• Water (%),13[12] (including swamps)
36,Population,Population
37,• 2022 estimate,"145,478,097 (including Crimea)[13]  143,054,637 (excluding Crimea)[13]  (9th)"
38,• Density,8.4/km2 (21.8/sq mi) (181st)
39,GDP (PPP),2022 estimate
40,• Total,$4.365 trillion[14] (6th)
41,• Per capita,"$30,013[14] (58th)"
42,GDP (nominal),2022 estimate
43,• Total,$1.829 trillion[14] (11th)
44,• Per capita,"$12,575[14] (68th)"
45,Gini (2020),36.0[15]medium · 98th
46,HDI (2019),0.824[16]very high · 52nd
47,Currency,Russian ruble (₽) (RUB)
48,Time zone,UTC+2 to +12
49,Driving side,right
50,Calling code,+7
51,ISO 3166 code,RU
52,Internet TLD,.ru.рф
