,Political offices,Political offices.1,Political offices.2
0,Preceded byNikolay Kovalyov,Director of the Federal Security Service 1998–1999,Succeeded byNikolai Patrushev
1,Preceded byNikolay Bordyuzha,Secretary of the Security Council 1999,Succeeded bySergei Ivanov
2,Preceded bySergei Stepashin,Prime Minister of Russia 1999–2000,Succeeded byMikhail Kasyanov
3,Preceded byBoris Yeltsin,President of Russia 2000–2008,Succeeded byDmitry Medvedev
4,Preceded byViktor Zubkov,Prime Minister of Russia 2008–2012,Succeeded byDmitry Medvedev
5,Preceded byDmitry Medvedev,President of Russia 2012–present,Incumbent
6,Diplomatic posts,Diplomatic posts,Diplomatic posts
7,Preceded byTony Blair,Chairman of the Group of 8 2006,Succeeded byAngela Merkel
8,Preceded byBarack Obama,Chairman of APEC 2012,Succeeded bySusilo Bambang Yudhoyono
9,Preceded byFelipe Calderón,Chairman of the Group of 20 2013,Succeeded byTony Abbott
10,Party political offices,Party political offices,Party political offices
11,Preceded byBoris Gryzlov,Leader of United Russia 2008–2012,Succeeded byDmitry Medvedev
