,vteCommonwealth of Independent States (CIS),vteCommonwealth of Independent States (CIS).1,vteCommonwealth of Independent States (CIS).2
0,Eurasian Customs Union Eurasian Economic Union Union State,Eurasian Customs Union Eurasian Economic Union Union State,Eurasian Customs Union Eurasian Economic Union Union State
1,Membership,"Members Armenia Azerbaijan Belarus Kazakhstan Kyrgyzstan Moldova Russia Tajikistan Uzbekistan Associate member Turkmenistan Former member Georgia (1993–2009) Former participants Ukraine (1991–2018, defined as not a member by the CIS Charter in 1993) History Russian Empire Soviet Union Dissolution of the Soviet Union Union of Sovereign States Belovezh Accords Alma-Ata Protocol CIS Charter",
2,Members,Armenia Azerbaijan Belarus Kazakhstan Kyrgyzstan Moldova Russia Tajikistan Uzbekistan,
3,Associate member,Turkmenistan,
4,Former member,Georgia (1993–2009),
5,Former participants,"Ukraine (1991–2018, defined as not a member by the CIS Charter in 1993)",
6,History,Russian Empire Soviet Union Dissolution of the Soviet Union Union of Sovereign States Belovezh Accords Alma-Ata Protocol CIS Charter,
7,Sports,Unified Team at the Olympics Unified Team at the Paralympics CIS national bandy team CIS national football team CIS national ice hockey team CIS national rugby union team CIS Cup (football),
8,Military,Collective Security Treaty Organization Collective Rapid Reaction Force Joint CIS Air Defense System,
9,Economics,Economic Court CISFTA Eurasian Economic Community Eurasian Patent Convention Eurasian Patent Organization EU Technical Aid,
10,Organization,Interstate Aviation Committee Council of Ministers of Defense of the CIS,
11,Foreign relations,European Union Georgia Ukraine,
12,Category,Category,Category
