,".mw-parser-output .navbar{display:inline;font-size:88%;font-weight:normal}.mw-parser-output .navbar-collapse{float:left;text-align:left}.mw-parser-output .navbar-boxtext{word-spacing:0}.mw-parser-output .navbar ul{display:inline-block;white-space:nowrap;line-height:inherit}.mw-parser-output .navbar-brackets::before{margin-right:-0.125em;content:""[ ""}.mw-parser-output .navbar-brackets::after{margin-left:-0.125em;content:"" ]""}.mw-parser-output .navbar li{word-spacing:-0.125em}.mw-parser-output .navbar a>span,.mw-parser-output .navbar a>abbr{text-decoration:inherit}.mw-parser-output .navbar-mini abbr{font-variant:small-caps;border-bottom:none;text-decoration:none;cursor:inherit}.mw-parser-output .navbar-ct-full{font-size:114%;margin:0 7em}.mw-parser-output .navbar-ct-mini{font-size:114%;margin:0 4em}vteC++",".mw-parser-output .navbar{display:inline;font-size:88%;font-weight:normal}.mw-parser-output .navbar-collapse{float:left;text-align:left}.mw-parser-output .navbar-boxtext{word-spacing:0}.mw-parser-output .navbar ul{display:inline-block;white-space:nowrap;line-height:inherit}.mw-parser-output .navbar-brackets::before{margin-right:-0.125em;content:""[ ""}.mw-parser-output .navbar-brackets::after{margin-left:-0.125em;content:"" ]""}.mw-parser-output .navbar li{word-spacing:-0.125em}.mw-parser-output .navbar a>span,.mw-parser-output .navbar a>abbr{text-decoration:inherit}.mw-parser-output .navbar-mini abbr{font-variant:small-caps;border-bottom:none;text-decoration:none;cursor:inherit}.mw-parser-output .navbar-ct-full{font-size:114%;margin:0 7em}.mw-parser-output .navbar-ct-mini{font-size:114%;margin:0 4em}vteC++.1"
0,C++ Outline C++98 C++03 C++11 C++14 C++17 C++20 C++23 Libraries,C++ Outline C++98 C++03 C++11 C++14 C++17 C++20 C++23 Libraries
1,Features,Classes Concepts Exception handling (Exception safety) Function overloading new and delete Operator overloading Operators References Templates Template metaprogramming Virtual functions
2,Standard Library,I/O Streams Smart pointers STL Strings
3,Ideas,As-if rule Curiously recurring template pattern Most vexing parse One Definition Rule Resource acquisition is initialization Rule of three Special member functions Substitution failure is not an error
4,Compilers,Comparison of C++ compilers Borland C++ Borland Turbo C++ C++Builder Clang GCC Intel C++ Compiler Oracle Solaris Studio Visual C++ Watcom C/C++
5,IDEs,Comparison of C IDEs Anjuta CLion Code::Blocks CodeLite DevC++ Eclipse Geany Microsoft Visual Studio NetBeans KDevelop Qt Creator
6,Superset languages,Objective-C++ C++/CLI C++/CX C++/WinRT Ch SYCL
7,Dialects,Embedded C++
8,Relative toother languages,Compatibility of C and C++ Comparison of Java and C++ Comparison of ALGOL 68 and C++ Comparison of programming languages
9,Category,Category
