,England,England.1
0,Flag  Royal Arms,Flag  Royal Arms
1,"Anthem: VariousPredominantly ""God Save the King""(National anthem of the United Kingdom)","Anthem: VariousPredominantly ""God Save the King""(National anthem of the United Kingdom)"
2,Location of England (dark green)– in Europe (green & dark grey)– in the United Kingdom (green),Location of England (dark green)– in Europe (green & dark grey)– in the United Kingdom (green)
3,Status,Country
4,Capitaland largest city,"London.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}51°30′N 0°7′W﻿ / ﻿51.500°N 0.117°W"
5,National language,English
6,Regional languages,Cornish
7,Ethnic groups (2011),85.4% White7.8% Asian3.5% Black2.3% Mixed1.0% Other
8,Religion (2011),59.4% Christianity24.7% No religion5.0% Islam1.5% Hinduism0.5% Buddhism1.7% Other7.2% Not stated
9,Demonym(s),English
10,Sovereign stateLegal jurisdiction,United KingdomEngland and Wales
11,Government,"Part of a constitutional monarchy, direct government exercised by the government of the United Kingdom[a]"
12,,
13,• Monarch,Charles III
14,Parliament of the United Kingdom,Parliament of the United Kingdom
15,• House of Commons,533 MPs (of 650)
16,Establishment,Establishment
17,,
18,"• Unification of Angles, Saxons and Danes",12 July 927
19,• Union with Scotland,1 May 1707
20,Area,Area
21,• Land,"130,279 km2 (50,301 sq mi)[1]"
22,Population,Population
23,• 2021 census,"56,489,800[2]"
24,• Density,"434/km2 (1,124.1/sq mi)"
25,GVA,2020 estimate
26,.mw-parser-output .nobold{font-weight:normal} • Total,£1.859 trillion[3]
27,• Per capita,"£32,866"
28,Currency,Pound sterling (GBP; £)
29,Time zone,UTC (Greenwich Mean Time)
30,• Summer (DST),UTC+1 (British Summer Time)
31,Date format,dd/mm/yyyy (AD)
32,Driving side,left
33,Calling code,+44
34,ISO 3166 code,GB-ENG
